Tale of Kieu 1871/page122_17.jpg	𨔍之國色天才沛緣
Tale of Kieu 1866/page050a_1.jpg	吏󰝡各跡犯圖侯查
Tale of Kieu 1872/page51a_4.jpg	𡮍爲琹㐌󰐻𦀊
Tale of Kieu 1871/page115_21.jpg	𠳨娘娘㐌半命贖吒
Tale of Kieu 1872/page41a_5.jpg	芇埃群敢呐能𠬠𠳒
Luc Van Tien/nlvnpf-0059-061_19.jpg	󰝡饒些仕立塘功名
Luc Van Tien/nlvnpf-0059-100_16.jpg	嫌爲庒固𠊚些
Tale of Kieu 1871/page104_0.jpg	娘時寔胣信𠊛
Tale of Kieu 1866/page052b_0.jpg	娘時寔胣信𠊛
Tale of Kieu 1866/page068a_16.jpg	𥘀爲𡮍󰒂初𡢐
Tale of Kieu 1872/page26b_1.jpg	産刀𢬣襖即時󰇥𦋦
Tale of Kieu 1866/page017a_12.jpg	𤴬𢚸几於𠊛𠫾
Tale of Kieu 1871/page051_4.jpg	媒浪埃拱如埃
Tale of Kieu 1872/page57b_2.jpg	包除𨑮萬精兵
Tale of Kieu 1871/page127_14.jpg	時𣈙再世相逢
Tale of Kieu 1866/page066b_0.jpg	娘浪分妾㐌停
Tale of Kieu 1866/page015a_9.jpg	散茹󰑼󰜋舌命󰑼𠄩
Tale of Kieu 1871/page028_15.jpg	催時󰘚屈𫽄他𢚸𤴬
Tale of Kieu 1871/page097_21.jpg	󰘚如盤覩命羕󰕵懷
Tale of Kieu 1866/page016a_1.jpg	底𢚸時負𬌓𢚸貝埃
Tale of Kieu 1871/page117_3.jpg	夜臺群別仕填來生
Luc Van Tien/nlvnpf-0059-089_10.jpg	漢明𫥨飭先鋒
Tale of Kieu 1872/page15a_19.jpg	綠󰠲渚及𠬠𠳒𢭂絲
Tale of Kieu 1871/page102_7.jpg	路󰑼深謝買󰑼知恩
Tale of Kieu 1866/page01b_4.jpg	聰明本産性𡗶
Tale of Kieu 1871/page110_21.jpg	時它沈玉潛香朱耒
Tale of Kieu 1866/page055b_21.jpg	時它沈玉潛香朱耒
Tale of Kieu 1871/page130_11.jpg	𫽄修時拱󰑼修
Luc Van Tien/nlvnpf-0059-078_18.jpg	𠬠卢爲渃烏戈
Luc Van Tien/nlvnpf-0059-072_16.jpg	公浪庒𢪀役茄
Tale of Kieu 1871/page036_18.jpg	𢪀𠫾𢪀吏󰜋命
Tale of Kieu 1871/page001_23.jpg	搊皮才色吏󰑼分欣
Tale of Kieu 1871/page108_23.jpg	官𨕭𥄮𫴋𠊛些𬖉𠓨
Tale of Kieu 1872/page37b_2.jpg	娘浪㐌决𠬠皮
Tale of Kieu 1866/page012a_1.jpg	家童𠓨𠳚書茹買𢀨
Tale of Kieu 1866/page028b_9.jpg	𬌓𥢆𥢆仍𥘀爲渃𡽫
Tale of Kieu 1872/page33b_5.jpg	花箕㐌执核尼朱渚
Luc Van Tien/nlvnpf-0059-034_9.jpg	自低朱細圭茄群𥹰
Tale of Kieu 1866/page050a_3.jpg	正名首犯𠸜󰑼宦姐
Luc Van Tien/nlvnpf-0059-049_17.jpg	調傷户六㤕車冲𢚸
Tale of Kieu 1871/page071_23.jpg	身尼易吏󰋇吝﨤仙
Luc Van Tien/nlvnpf-0059-016_4.jpg	𣅶芇吒領役官
Tale of Kieu 1866/page027b_19.jpg	吏皮及曠椿堂吏圭
Luc Van Tien/nlvnpf-0059-094_15.jpg	擛它安賊欧𰙔囬朝
Tale of Kieu 1871/page056_4.jpg	恪如花㐌離梗
Tale of Kieu 1866/page028b_4.jpg	恪如花㐌離梗
Luc Van Tien/nlvnpf-0059-019_13.jpg	𩙌西𣈙㐌迻春創夏
Tale of Kieu 1872/page08a_12.jpg	󰟀文唏這如銅
Tale of Kieu 1871/page090_23.jpg	丐身料仍自茹料𠫾
Tale of Kieu 1872/page72a_17.jpg	𢚸芇麻女𢴑𢚸朱當
Tale of Kieu 1872/page56a_13.jpg	户徐𠸜海本㝵越東
Tale of Kieu 1872/page42a_7.jpg	車香娘㐌順塘歸寧
Tale of Kieu 1871/page042_3.jpg	𥪞茹𠊛質󰜋吝如𣑻
Tale of Kieu 1872/page71b_13.jpg	払金󰡲妬昆時扵󰠲
Tale of Kieu 1866/page05a_5.jpg	󰋇𠳒下賜捻珠招鐄
Tale of Kieu 1871/page107_17.jpg	噲󰑼答底𥙩𠊛死生
Tale of Kieu 1872/page47b_14.jpg	𠸦浪孝于㐌𢧚
Tale of Kieu 1866/page031b_19.jpg	於𥪝囷法呐𦋦䋦𦀚
Tale of Kieu 1871/page114_0.jpg	浪碎㐌固𢚸𣇞
Tale of Kieu 1871/page077_7.jpg	推𢚸涉𡵆𤴬𢚸終天
Luc Van Tien/nlvnpf-0059-062_4.jpg	雲仙欺意安𢚸
Tale of Kieu 1872/page62b_2.jpg	謝恩𥛉畧徐公
Tale of Kieu 1866/page039a_19.jpg	𡅳払𫽄𣴓時些固扽
Luc Van Tien/nlvnpf-0059-060_4.jpg	英時回貫省親
Tale of Kieu 1866/page017b_13.jpg	刎󰑼󰜋𠀲風情㐌𪡵
Tale of Kieu 1871/page041_1.jpg	閉𣇞買浽三彭媒𨖲
Tale of Kieu 1866/page011a_8.jpg	浪𫨩時寔󰑼𫨩
Tale of Kieu 1871/page026_4.jpg	決情娘買下情
Luc Van Tien/nlvnpf-0059-102_6.jpg	浪些初拱恩情
Tale of Kieu 1872/page70a_3.jpg	断膓䜹沛迎麻者饒
Tale of Kieu 1872/page35b_19.jpg	停身分妾𢪀名價払
Tale of Kieu 1866/page012b_16.jpg	娘時𨅸𢭸軒西
Tale of Kieu 1866/page029a_13.jpg	停身分妾𢪀名價払
Tale of Kieu 1871/page040_21.jpg	㐌欺崇作吏欺𨅸𡎦
Tale of Kieu 1872/page57b_0.jpg	徐浪心胆相知
Tale of Kieu 1872/page65b_9.jpg	吸󰡤買𠳚湿高事𢚸
Luc Van Tien/nlvnpf-0059-094_13.jpg	决󰝡兵馬細沔烏戈
Luc Van Tien/nlvnpf-0059-064_5.jpg	𡟱𤽗剿刺制共世民
Tale of Kieu 1871/page050_6.jpg	群箋昔越於𢬣
Tale of Kieu 1871/page093_12.jpg	包𣇞𨑮萬精兵
Tale of Kieu 1871/page095_17.jpg	唉群𦛜燕眉𧍋如初
Tale of Kieu 1872/page05b_19.jpg	及旬妬𦲿妥𢚸尋花
Tale of Kieu 1872/page11a_7.jpg	信春󰠲易𠫾󰡲朱能
Tale of Kieu 1871/page136_0.jpg	𡄎咍𰿘事在𡗶
Luc Van Tien/nlvnpf-0059-009_0.jpg	風來庄及阻𢬣
Tale of Kieu 1866/page011a_21.jpg	𠯇朱䜹歇󰜋𠳒㐌㝹
Tale of Kieu 1871/page108_22.jpg	𢪀命方靣国家
Tale of Kieu 1872/page20a_15.jpg	綠尼時𡨹物尼𧵑終
Tale of Kieu 1871/page050_13.jpg	擬身麻吏唅𠿯朱身
Tale of Kieu 1871/page087_20.jpg	仍𢜠特准安身
Tale of Kieu 1872/page31b_11.jpg	󰀩身麻吏唅𠿯朱身
Tale of Kieu 1872/page43a_0.jpg	󰠱香旦畧天臺
Tale of Kieu 1871/page085_23.jpg	𮗓緣師長𫅜𢚸連傷
Tale of Kieu 1872/page45a_15.jpg	吏群共犬爫高砌尼
Tale of Kieu 1871/page106_13.jpg	𢴑𠳒娘拱招頭󰜋边
Tale of Kieu 1866/page019a_9.jpg	󰜋茹萱貝󰜋翹於𥪞
Tale of Kieu 1871/page111_16.jpg	固𡗶麻拱在些
Tale of Kieu 1872/page67a_7.jpg	刼功吒媄舌𠁀聰明
Tale of Kieu 1866/page03a_10.jpg	浪紅顔自𠦳初
Tale of Kieu 1871/page041_11.jpg	入家沛據法茹蚤低
Tale of Kieu 1872/page07a_13.jpg	醒𦋦買別浪𠇮占包
Tale of Kieu 1871/page089_12.jpg	証明固坦固𡗶
Tale of Kieu 1872/page55a_6.jpg	証明固坦固𡗶
Tale of Kieu 1866/page049a_1.jpg	拱差令節󰝡信逴𠶆
Tale of Kieu 1872/page28b_3.jpg	𬂙払娘拱𦋦情刀帶
Tale of Kieu 1872/page80a_0.jpg	如娘𥙩孝爫貞
Tale of Kieu 1866/page012b_9.jpg	没𠳒珍重珠沙󰋇行
Tale of Kieu 1871/page074_6.jpg	娘強湥玉如滇
Tale of Kieu 1872/page45a_11.jpg	庄牟遁主時筠論𫯳
Tale of Kieu 1871/page134_1.jpg	𡗋𠊛朱旦悲𣇞吏催
Tale of Kieu 1866/page062b_0.jpg	仕𦖑世賊㐌散
Tale of Kieu 1872/page65a_15.jpg	𢴑𠳒娘拱招頭𠬠边
Tale of Kieu 1866/page039b_5.jpg	遣𠊛𨕭席拱散󰞺𢚸
Tale of Kieu 1866/page052b_10.jpg	𨕭爲渃𠁑爲茹
Luc Van Tien/nlvnpf-0059-058_13.jpg	㨿牢𢧚浽身形世尼
Tale of Kieu 1871/page019_5.jpg	䏾𦝄㐌熾花梨吏𧵆
Tale of Kieu 1866/page034a_21.jpg	車香娘㐌順塘󰟽寧
Tale of Kieu 1871/page011_7.jpg	𠀧秋論吏󰜋𣈜𨱽稽
Tale of Kieu 1872/page49b_1.jpg	浪才𢧚重麻情𢧚傷
Tale of Kieu 1871/page059_11.jpg	焠肝翁買告脾󰘇公
Tale of Kieu 1872/page74a_13.jpg	󰡏芸弹吏覩芸文䜹
Tale of Kieu 1866/page025b_15.jpg	典風塵拱風塵如唉
Tale of Kieu 1872/page59a_6.jpg	席排賞將󰍁兵
Tale of Kieu 1866/page061b_0.jpg	沖𢬣𰿘萬精兵
Tale of Kieu 1872/page66a_3.jpg	哙󰑼答底𥙩㝵死生
Luc Van Tien/nlvnpf-0059-066_12.jpg	公浪幅像𠊚𠸗
Tale of Kieu 1872/page59b_4.jpg	吏差令箭傳戈
Tale of Kieu 1866/page043a_9.jpg	吝𦖑更㐌󰜋分𪔠𠀧
Tale of Kieu 1871/page114_9.jpg	断膓䜹沛迎麻者蹺
Tale of Kieu 1872/page10b_17.jpg	貝梗釵意即時𢬭𢭂
Luc Van Tien/nlvnpf-0059-053_7.jpg	迻翁項羽於沔烏江
Tale of Kieu 1866/page025a_3.jpg	馬嬌吏𠼯意𦋦吲𠳒
Tale of Kieu 1872/page12b_17.jpg	䏾𦝄㐌𧿨花棃吏𧵆
Tale of Kieu 1871/page129_15.jpg	死生拱𪧚𥙩𠳒死生
Tale of Kieu 1872/page75b_17.jpg	便塘拱吏尋娘搂㧅
Tale of Kieu 1872/page15a_1.jpg	群身群𠬠填培固欺
Tale of Kieu 1871/page014_15.jpg	陳陳没分挹核㐌料
Tale of Kieu 1871/page107_15.jpg	𤯩乘碎㐌𢧚料命碎
Tale of Kieu 1866/page017a_23.jpg	蕋逃㐌披朱𠊛情鍾
Tale of Kieu 1866/page055b_7.jpg	限些時待𠁑尼逴些
Tale of Kieu 1872/page08b_11.jpg	𣲆㙴花𠰩别㝵於󰠲
Tale of Kieu 1866/page032a_11.jpg	春亭脱㐌遁𦋦高亭
Luc Van Tien/nlvnpf-0059-008_4.jpg	民浪屡奴群低
Tale of Kieu 1871/page020_14.jpg	搊寅𦀊武𦀊文
Tale of Kieu 1866/page05b_3.jpg	别綠命别分命世傕
Tale of Kieu 1872/page41a_17.jpg	󰖥絲庄動𡮳埋事情
Tale of Kieu 1866/page032b_16.jpg	本𣳔户宦名家
Tale of Kieu 1872/page67b_5.jpg	限些時待𫴋尼逴些
Tale of Kieu 1872/page56a_3.jpg	𦟐紅填過姅時渚他
Luc Van Tien/nlvnpf-0059-060_0.jpg	仙浪㐌﨤科尼
Tale of Kieu 1871/page121_18.jpg	𢴑命娘沛遁𦋦
Luc Van Tien/nlvnpf-0059-037_19.jpg	祖師覔保𠬠恬占包
Luc Van Tien/nlvnpf-0059-094_19.jpg	嗔他罪畧買𢧚仍󰑼
Tale of Kieu 1871/page090_1.jpg	泊生𫴋畧尋尼𠳨𣈜
Tale of Kieu 1872/page49b_0.jpg	連𢬣𢭂吏束生
Tale of Kieu 1871/page090_12.jpg	脱𬂙娘㐌別情
Tale of Kieu 1872/page55b_10.jpg	脱𬂙娘㐌別情
Tale of Kieu 1871/page074_1.jpg	沙機買典世尼庄仍
Tale of Kieu 1872/page28b_0.jpg	𢪀浪拱脉書香
Tale of Kieu 1872/page13b_15.jpg	𦖑𦋦如怨如愁沛庄
Tale of Kieu 1866/page048a_2.jpg	甲兵捁且觥茹
Tale of Kieu 1872/page34b_3.jpg	爫朱覩舘漂亭如󱉁
Tale of Kieu 1872/page34a_15.jpg	𣈜春𡗋六𠫾米貝春
Tale of Kieu 1872/page22a_4.jpg	𫽄󰑼妸馬監生
Luc Van Tien/nlvnpf-0059-065_18.jpg	矯公哙傳雲仙
Tale of Kieu 1871/page060_3.jpg	󰜋󰑼吏據楼撑付𧗱
Tale of Kieu 1866/page031a_17.jpg	朱陳𡥵固朱陳芇欣
Tale of Kieu 1872/page18b_10.jpg	𤼸書㐌𢢆娘鶯
Tale of Kieu 1871/page092_18.jpg	󰜋𠳒㐌別旦些
Tale of Kieu 1872/page74a_7.jpg	户都󰡏几吏𫅷䜹𨖲
Tale of Kieu 1872/page36b_16.jpg	浪昆別罪㐌𡗉
Tale of Kieu 1871/page113_4.jpg	畧𡢐朱院󰜋𠳒
Tale of Kieu 1872/page11b_11.jpg	枝𫡮𬂙𤑟𰦫𠓨天台
Tale of Kieu 1872/page17b_13.jpg	㙴花𠬠𨀈湥花󰋇行
Tale of Kieu 1871/page107_16.jpg	吀朱賎士󰜋堆
Tale of Kieu 1871/page118_9.jpg	群碎碎󰜋﨤娘買催
Tale of Kieu 1871/page020_19.jpg	𦖑𦋦如怨如愁沛庒
Tale of Kieu 1871/page033_11.jpg	管絃󰠳吏𠽖𣈜生離
Tale of Kieu 1871/page079_20.jpg	仍衣吏累典娘
Tale of Kieu 1872/page25a_5.jpg	𠳐𠳒娘買𨀈𠓨羡尼
Tale of Kieu 1866/page062a_0.jpg	㤕台隻𦲿𠀧爲
Tale of Kieu 1866/page055a_23.jpg	催時󰞺玉散鐄時催
Tale of Kieu 1872/page72b_19.jpg	过𦋦欺旦世芇麻咍
Tale of Kieu 1866/page014a_9.jpg	㙴花󰜋𨀈淚花󰋇行
Luc Van Tien/nlvnpf-0059-101_16.jpg	排𠳒叙事𡳪頭
Tale of Kieu 1871/page088_18.jpg	世芇娘拱沛𦖑
Tale of Kieu 1872/page71a_17.jpg	払喂別浽渃尼朱渚
Luc Van Tien/nlvnpf-0059-025_19.jpg	𦊚𠊛𡎢吏𠬠𣳔爫詩
Tale of Kieu 1866/page015a_19.jpg	礼心㐌達訟期拱衝
Tale of Kieu 1871/page038_22.jpg	娘時𡎝客車駸
Tale of Kieu 1871/page119_7.jpg	緣雲𣋽㐌車𦀊朱払
Tale of Kieu 1872/page10b_6.jpg	朗𦖑𠳒呐如油
Tale of Kieu 1866/page023a_4.jpg	擬浪拱脉書香
Tale of Kieu 1866/page016a_17.jpg	㤕𠊛命薄乙𢚸拯涓
Tale of Kieu 1871/page066_23.jpg	𨑮分些㐌信饒奇𨑮
Tale of Kieu 1872/page49a_10.jpg	小姐吏𠳨束生
Tale of Kieu 1871/page094_19.jpg	𣹓滝鯨鰐秩塘甲兵
Tale of Kieu 1866/page047b_19.jpg	𣹓滝鯨鰐秩塘甲兵
Tale of Kieu 1871/page039_21.jpg	姑芇醜𩴬朱䜹䋦行
Tale of Kieu 1872/page11a_19.jpg	󰡎花体㐌固払𨅸𬂙
Tale of Kieu 1872/page41b_10.jpg	体𠳒統請如󱉁
Tale of Kieu 1872/page65a_19.jpg	㤕娘仕吏域𦋦寅寅
Luc Van Tien/nlvnpf-0059-035_1.jpg	𦋦𠫾買邒𨑮㝵吏𤴬
Tale of Kieu 1872/page35b_9.jpg	𨑮分拱荅店朱𠬠𠄽
Tale of Kieu 1872/page54b_15.jpg	強𦖑媒呐強𤴬如寅
Tale of Kieu 1866/page045a_1.jpg	強𦖑媒呐強𤴬如寅
Luc Van Tien/nlvnpf-0059-069_5.jpg	昆它守節群吹理芇
Tale of Kieu 1871/page021_2.jpg	㗂寬如𩙌倘外
Tale of Kieu 1871/page013_22.jpg	生浪󰠷里𦋦𠓨
Tale of Kieu 1871/page093_22.jpg	娘時隻䏾窻梅
Tale of Kieu 1872/page57b_12.jpg	娘時隻䏾窻梅
Tale of Kieu 1866/page047a_22.jpg	娘時隻䏾窻梅
Luc Van Tien/nlvnpf-0059-013_13.jpg	㐌毛麻吏添咍
Tale of Kieu 1872/page71b_9.jpg	夜臺群別仕填耒生
Tale of Kieu 1871/page096_11.jpg	尼時𩢬倒尼時㤕傷
Luc Van Tien/nlvnpf-0059-048_7.jpg	麻民調哙󰲴芇細低
Tale of Kieu 1872/page15a_6.jpg	娘時倍𧿨󰟀桃
Tale of Kieu 1872/page34a_7.jpg	店春埃易扲𢚸特庄
Tale of Kieu 1872/page21a_18.jpg	轎花󰠲㐌旦外
Tale of Kieu 1871/page059_2.jpg	浪𡥵別罪㐌𡗉
Tale of Kieu 1871/page054_13.jpg	𣎀春埃易扲𢚸特庄
Tale of Kieu 1872/page15b_14.jpg	㐌願堆𡦂同心
Tale of Kieu 1871/page035_0.jpg	磊埋歐拱事𡗶
Luc Van Tien/nlvnpf-0059-073_8.jpg	六翁𦋦逴𠬠欺
Tale of Kieu 1872/page27a_5.jpg	花春登蘂𣈜春群𨱽
Tale of Kieu 1871/page068_13.jpg	朝𡥵買𠰺默油𦋦𢬣
Tale of Kieu 1872/page42b_17.jpg	料如宫廣姉姮𢪀㝹
Tale of Kieu 1872/page51b_19.jpg	󰋇𠳒𦖑歇㐌餘𤏣詳
Tale of Kieu 1866/page042b_5.jpg	󰋇𠳒𦖑歇㐌餘𤏣詳
Tale of Kieu 1871/page088_12.jpg	尼𧵆時𫽄便尼
Tale of Kieu 1872/page75a_14.jpg	𠳒初㐌𰦫𰿘萬
Tale of Kieu 1866/page032b_7.jpg	棱󰊈秋㐌染牟関山
Tale of Kieu 1866/page062a_7.jpg	󰌎香別固刼尼女催
Tale of Kieu 1871/page101_4.jpg	𢖵𣈜行脚方賒
Tale of Kieu 1871/page022_2.jpg	𦋦從𨕭濮中𣘛
Tale of Kieu 1871/page057_5.jpg	𠓀唅獅子𠳚𠊛藤𦲿
Tale of Kieu 1871/page088_6.jpg	浪娘閍埮󰜋身
Tale of Kieu 1866/page08b_19.jpg	𠁑花㐌𧡊固払𨅸𬖉
Tale of Kieu 1872/page03b_1.jpg	淡仙娘意初󰑼𰙔兒
Tale of Kieu 1866/page059a_17.jpg	㐌停分萡坤填情鍾
Luc Van Tien/nlvnpf-0059-074_5.jpg	𧵑尼底吏朱吒养𫅷
Tale of Kieu 1866/page029a_7.jpg	󰟩咮吏罪平𠀧焒燶
Luc Van Tien/nlvnpf-0059-091_5.jpg	於低併它欣𠀧𢆥耒
Luc Van Tien/nlvnpf-0059-058_4.jpg	冲𨉓咹㕵㐌安
Tale of Kieu 1871/page109_19.jpg	群𣈜芇拱餘𣈜󰀎催
Tale of Kieu 1866/page055a_19.jpg	群𣈜芇拱餘𣈜󰀎催
Luc Van Tien/nlvnpf-0059-066_4.jpg	矯公冲胣惨傷
Tale of Kieu 1871/page029_15.jpg	擒𦀊𫽄擬纀𠓨自然
Tale of Kieu 1872/page13b_7.jpg	倍傍生㐌𢬣㨢昂眉
Tale of Kieu 1866/page03b_5.jpg	娘浪尼寔精誠𫽄賒
Tale of Kieu 1872/page69b_13.jpg	淡仙脱㐌体㝵𣈜初
Tale of Kieu 1866/page019a_15.jpg	𤾓𢆥底没𬌓𢚸自低
Tale of Kieu 1871/page109_15.jpg	捻昌別𢭮死生准芇
Tale of Kieu 1871/page015_7.jpg	拱料補过春撑󰜋𠁀
Tale of Kieu 1872/page26b_9.jpg	媒時𠬠𠬠󰘚𥚆魂𠖤
Tale of Kieu 1866/page037a_18.jpg	管家固󰜋媒芇
Tale of Kieu 1872/page14b_15.jpg	麻𢚸𥜤󰕪㐌呈𠬠边
Tale of Kieu 1872/page48a_9.jpg	渚重局𨢇吏排路󱉁
Tale of Kieu 1872/page60a_15.jpg	畨尼几𠎨󰜏𫅷及饒
Tale of Kieu 1866/page065a_12.jpg	󰜋𠳒㐌律深交
Tale of Kieu 1872/page62b_9.jpg	𪮙㝵知己𠬠𣈜特庒
Tale of Kieu 1872/page48a_5.jpg	勸払庄𣴓時些󰡏扽
Tale of Kieu 1866/page043b_3.jpg	皈師皈佛修行閉𥹰
Tale of Kieu 1866/page011b_5.jpg	浪𤾓𢆥女補𠫾󰜋𣈜
Tale of Kieu 1872/page71a_19.jpg	𠬠𠳒㐌𰦫󰖥絲貝払
Tale of Kieu 1866/page065a_6.jpg	󰜋𠳒雖固約初
Tale of Kieu 1866/page013b_3.jpg	爫𡥵𠓀沛填恩生成
Luc Van Tien/nlvnpf-0059-073_0.jpg	娘浪役𧘇㐌仃
Tale of Kieu 1872/page77b_16.jpg	娘浪𡮍分花涞
Tale of Kieu 1872/page68a_6.jpg	𠁀㝵旦势時催
Tale of Kieu 1872/page79a_12.jpg	娘浪家室緣諧
Tale of Kieu 1871/page018_10.jpg	生浪邂逅󰑼緣
Tale of Kieu 1872/page12a_18.jpg	生浪邂逅󰑼緣
Tale of Kieu 1871/page109_21.jpg	𬌓身芇別舌耒󰑼傷
Luc Van Tien/nlvnpf-0059-067_11.jpg	㐌空朱﨤𣇜頭辰傕
Tale of Kieu 1871/page127_1.jpg	𨑮分春固𤷍𠀧𦊚分
Tale of Kieu 1866/page030a_1.jpg	打料生買礼情奈呌
Tale of Kieu 1866/page02b_0.jpg	哭嘆坤掣事情
Tale of Kieu 1871/page053_14.jpg	情溇蒙者󰒂𠫅
Tale of Kieu 1872/page33b_4.jpg	情溇蒙者󰒂𠫅
Tale of Kieu 1866/page052b_15.jpg	乘機娘買盘𦋦呐𠓨
Luc Van Tien/nlvnpf-0059-036_5.jpg	拱󰑼綱目收夷青東
Luc Van Tien/nlvnpf-0059-095_18.jpg	状元跪奏𠬠囬
Tale of Kieu 1866/page025b_2.jpg	娘浪𡗶尔固咍
Luc Van Tien/nlvnpf-0059-030_15.jpg	嗔𠓨冲舘定皮󰆕家
Tale of Kieu 1872/page46b_17.jpg	愁𨱽𣈜𥐆冬它郎春
Tale of Kieu 1866/page013b_5.jpg	𠯇朱底妾半命贖吒
Tale of Kieu 1871/page026_16.jpg	𤴬𢚸死别生離
Tale of Kieu 1871/page104_3.jpg	㐌𬲢流落吏𡗉󰠡屯
Tale of Kieu 1871/page133_8.jpg	埃𪟽吏合󰜋茹
Luc Van Tien/nlvnpf-0059-069_8.jpg	𦖑吨昆𡛔矯公
Tale of Kieu 1866/page052b_3.jpg	㐌𬲢流落吏𡗉󰠡屯
Tale of Kieu 1871/page019_11.jpg	別󰠳耒女𫽄󰑼占包
Tale of Kieu 1871/page011_1.jpg	浽𥢆𥢆鄭𡬷𥢆没命
Tale of Kieu 1872/page78a_19.jpg	啫師啫景調拱𨀈𦋦
Tale of Kieu 1871/page017_1.jpg	㐌甘弊貝知音閉迡
Tale of Kieu 1866/page031a_8.jpg	生浪𡭧分浡䕯
Tale of Kieu 1872/page39a_15.jpg	𣈙吝埋呂如形渚通
Tale of Kieu 1872/page08b_14.jpg	󰑼茹吳越商家
Tale of Kieu 1871/page066_18.jpg	仍󰑼𠲖邑用浪
Luc Van Tien/nlvnpf-0059-071_13.jpg	傷𢚸渃漢沛𦋦料𨉓
Tale of Kieu 1866/page068a_11.jpg	遣𠊛身戚逴柴𮗓緣
Tale of Kieu 1866/page019b_5.jpg	𠃅外擬㐌𠽖連𨇒車
Tale of Kieu 1872/page12b_15.jpg	󰇥朝如醒󰇥朝如迷
Luc Van Tien/nlvnpf-0059-070_17.jpg	役冲茄渃㐌仃朱𤽗
Tale of Kieu 1866/page065a_15.jpg	死生沛𡨹𥙩𠳒死生
Tale of Kieu 1872/page17a_5.jpg	𠖰朱底妾半命贖吒
Tale of Kieu 1872/page72a_9.jpg	𧵑初吏󰇥旦弹貝香
Tale of Kieu 1872/page69b_3.jpg	窖𥪝及𫽻拱𥪝轉運
Tale of Kieu 1871/page005_4.jpg	吏強迷𢠨心神
Tale of Kieu 1872/page25b_17.jpg	㐌欺鍾乍吏欺𨅸𡎢
Tale of Kieu 1871/page020_1.jpg	𢜝吝巾過𦋦讒所庄
Tale of Kieu 1866/page023a_11.jpg	花𫳵花窖也苔貝花
Tale of Kieu 1871/page086_9.jpg	沛尼恒水𨔍些厚情
Tale of Kieu 1872/page53a_11.jpg	沛尼恒水𨔍些厚情
Tale of Kieu 1866/page060a_23.jpg	想娘𢧚吏体娘𧗱低
Tale of Kieu 1872/page42b_9.jpg	塘箕浽怒如支䋦愁
Tale of Kieu 1871/page067_3.jpg	㐌洳䏾𢪀吏碑𠰘唭
Tale of Kieu 1866/page037a_4.jpg	㐌󰝡命半󰘇蚤
Tale of Kieu 1871/page105_8.jpg	役兵補𫽄𡨹𢭩
Tale of Kieu 1872/page28b_17.jpg	窻秋㐌怯𦑃外
Tale of Kieu 1871/page013_14.jpg	生陀固意待徐
Luc Van Tien/nlvnpf-0059-003_7.jpg	名碎㐌𤎜㗂柴屯賖
Tale of Kieu 1871/page120_23.jpg	𦖑𠳒払拱𠄩唐信𪟽
Tale of Kieu 1866/page051a_2.jpg	師浪拱𫽄󰋇𥹰
Tale of Kieu 1871/page031_23.jpg	𧡊囂囂󰊄時咍姉𧗱
Tale of Kieu 1871/page028_14.jpg	󰜋𠳒𡢐𠓀拱󰑼
Tale of Kieu 1866/page023b_3.jpg	便鴻娘買𠴍𠳒𠳚郎
Tale of Kieu 1871/page097_22.jpg	娘浪義重𠦳𡽫
Tale of Kieu 1866/page052a_16.jpg	抪身𧗱貝朝廷
Tale of Kieu 1866/page025b_8.jpg	𠳒𣦍東󰘚𥪞外
Tale of Kieu 1866/page05b_13.jpg	取𠫾率𧡊應連占包
Tale of Kieu 1866/page050b_10.jpg	令󰄹傳𫴋内力
Tale of Kieu 1872/page65b_19.jpg	計包饒吏𤴬𢚸闭饒
Tale of Kieu 1871/page119_11.jpg	𢝙尼㐌拮愁箕特芇
Tale of Kieu 1872/page73a_5.jpg	𢝙尼㐌拮愁箕特芇
Tale of Kieu 1872/page18b_9.jpg	󰖥絲渚𡭧填恩生成
Tale of Kieu 1872/page35a_14.jpg	娘浪𬮙隊恩𢚸
Luc Van Tien/nlvnpf-0059-104_17.jpg	󰉨𢜠𠄩户𠬠茄成身
Tale of Kieu 1872/page38b_4.jpg	妯昆冲道家庭
Luc Van Tien/nlvnpf-0059-088_19.jpg	𫢩𧗱於𡶀翠微隐𠇮
Luc Van Tien/nlvnpf-0059-103_2.jpg	状元辝謝𦋦𧗱
Tale of Kieu 1866/page047a_11.jpg	牢渚脱塊女兒常情
Tale of Kieu 1866/page017b_20.jpg	終𦝄𨷑󰜋嵬行
Luc Van Tien/nlvnpf-0059-048_9.jpg	庒咍𠊚󰡎馬尼󰑼埃
Tale of Kieu 1866/page024b_2.jpg	󰜋󰟞都旦畧𡢐
Luc Van Tien/nlvnpf-0059-084_17.jpg	同䦕󰋇淡𠫾𠓨細尼
Tale of Kieu 1871/page111_20.jpg	吏芒𥙩󰜋𫳘情
Luc Van Tien/nlvnpf-0059-051_12.jpg	魚浪户武扵𧵆
Tale of Kieu 1871/page081_17.jpg	冲𡬼𡬷吏扱𨑮関山
Tale of Kieu 1866/page030b_8.jpg	𠰺浪據法家刑
Luc Van Tien/nlvnpf-0059-016_15.jpg	㝵芇𦖑鄧㗂弹知音
Tale of Kieu 1866/page014b_0.jpg	󰜋𠳒船㐌淹潭
Tale of Kieu 1866/page065a_0.jpg	群緣枚吏群𠊛
